uniqid	distschl	dyear
1000900624	.48	2000
1000900625	.34	2000
1001000021	2.58	2000
1001000022	.4	2000
1001000029	.26	2000
1001000033	2.02	2000
1001000036	.55	2000
1001000044	.4	2000
1001000048	7.21	2000
1001000049	29.17	2000
1001000050	1.55	2000
1001000055	5.51	2000
1001000060	.94	2000
1001000064	.24	2000
1001000069	.98	2000
1001000072	1.06	2000
1001000073	.95	2000
1001000076	.18	2000
1001000079	1.06	2000
1001000085	.29	2000
1001000086	1.78	2000
1001000096	27.39	2000
1001000098	1.09	2000
1001000102	1.8	2000
1001000115	.94	2000
1001000116	.42	2000
1001000128	1.45	2000
1001000129	.59	2000
1001000131	.24	2000
1001000132	1.75	2000
1001000134	2.05	2000
1001000137	4.94	2000
1001000138	7.57	2000
1001000139	.18	2000
1001000141	.19	2000
1001000144	1.03	2000
1001000145	1.12	2000
1001000146	.32	2000
1001000159	12.03	2000
1001000165	9.91	2000
1001000171	.57	2000
1001000183	.67	2000
1001000190	1.59	2000
1001000192	.67	2000
1001000195	.44	2000
1001000196	.47	2000
1001000198	.93	2000
1001000200	.09	2000
1001000201	.74	2000
1001000203	.84	2000
1001000205	.74	2000
1001000214	.95	2000
1001000217	.5	2000
1001000226	.56	2000
1001000233	4.65	2000
1001000234	.96	2000
1001000235	1.15	2000
1001000239	4.82	2000
1001000240	.75	2000
1001000241	.67	2000
1001000251	3.58	2000
1001000255	1.89	2000
1001000256	1.67	2000
1001000261	.74	2000
1001000264	.88	2000
1001000285	1.66	2000
1001000286	.45	2000
1001000288	.41	2000
1001000298	.4	2000
1001000308	6.55	2000
1001000314	.78	2000
1001000329	1.27	2000
1001000335	.75	2000
1001000340	1.08	2000
1001000341	1.11	2000
1001000345	2.56	2000
1001000350	.55	2000
1001000351	.52	2000
1001000355	.92	2000
1001000364	1.44	2000
1001000371	3.37	2000
1001000372	.89	2000
1001000381	.25	2000
1001000393	4.8	2000
1001000397	.41	2000
1001000407	2.09	2000
1001000409	.67	2000
1001000411	2.2	2000
1001000414	.39	2000
1001000415	.39	2000
1001000419	.49	2000
1001000424	19.21	2000
1001000425	1.71	2000
1001000473	1.57	2000
1001000496	.76	2000
