UNIQIDNEW	KID_WT	kid_ok	kidecon	kidage	laschool	centre_t	type1	type2	type3	distschl
1647864902	.44	1	7	1	 	Local Authority	Primary	0	0	.440410036216252
1649038979	1.41	1	7	4	 	Local Authority	0	Secondary	0	.867535013702617
1650425611	1.84	1	7	1	 	Local Authority	Primary	0	0	2.14822019355559
1651586900	1.13	1	7	2	 	Local Authority	Primary	0	0	.169955876626847
1655592682	.81	1	7	2	 	Local Authority	Primary	0	0	.758093002210151
1664807490	.57	1	7	1	 	Local Authority	Primary	0	0	.479475755382897
1672911808	.41	1	7	3	 	Local Authority	Primary	0	0	8.10407557960808
1675479841	.84	1	7	1	 	Local Authority	Primary	0	0	.837613872855506
1681794557	1.68	1	7	4	 	Independent	Primary	Secondary	0	.624269973649222
1686237795	.69	1	7	4	 	Local Authority	Primary	Secondary	0	.374541052489577
1690024664	1.68	1	7	3	 	Local Authority	Primary	0	0	.510538930934753
1693978506	1.15	1	7	1	 	Local Authority	Primary	0	0	2.65292932435073
1709332076	1.91	1	7	4	 	Local Authority	0	Secondary	0	1.48035299844328
1711006887	.84	1	7	2	 	Local Authority	Primary	0	0	.274233477168635
1716674134	1.19	1	7	2	 	Local Authority	Primary	0	0	1.91506918935061
1720804093	.86	1	7	3	 	Local Authority	0	Secondary	0	1.94802926056053
1724961051	1.66	1	7	2	 	Local Authority	Primary	0	0	.248501509049744
1727838871	.34	1	7	2	 	Local Authority	Primary	0	0	.421456996620058
1735561109	.75	1	7	3	 	Local Authority	0	Secondary	0	11.2372496635075
1736252066	.72	1	7	1	 	Local Authority	Primary	0	0	.0839344982709732
1736607692	1.17	1	7	3	 	Local Authority	0	Secondary	0	1.50050824722825
1737771240	.65	1	7	2	 	Local Authority	Primary	0	0	.641059279630207
1741663619	.76	1	7	4	 	Local Authority	0	Secondary	0	.522062256823839
1744197501	.8	1	7	2	 	Local Authority	Primary	0	0	.234827596333991
1746928269	.26	1	7	1	 	Local Authority	Primary	0	0	.629003179642202
1751065301	1.3	1	7	1	 	Local Authority	Primary	0	0	.956696921705093
1753626243	.86	1	7	2	 	Local Authority	Primary	0	0	.305308041164985
1756805434	.86	1	7	2	 	Local Authority	Primary	0	0	.15965587994183
1759161167	.48	1	7	4	 	Local Authority	0	Secondary	0	.950013157803617
1763058273	.8	1	7	4	 	Local Authority	0	Secondary	0	.943871283597504
1765713148	2.15	1	7	1	 	Local Authority	Primary	0	0	.911938594423989
